Phenomenon Date,Time,Temperature,SpecificConductance,Salinity ,DOPercent,DOmgl,pH (mV),pH,Turbidity ,Chlorophyll,Chlorophyllngl,:fDOM (RFU),:fDOM (QSU),:Wind direction,:Wind speed (m/s),AirTemp,:Relative humidity (%),:Barometric pressure (hPa),:Solar radiation (W/m2),NO3M
04/01/2025,6:00:00 PM,4.357,47022.5,29.87,104.66,11.12,-71.93,8.05,2.27,-0.26,-0.51,1.47,3.58,351,4.59,5.1,40,1015.8,8,10.22
04/01/2025,5:00:00 PM,4.296,47320.1,30.07,104.44,11.1,-71.73,8.05,2.08,-0.28,-0.57,1.38,3.28,322,6.09,5.7,38,1014.1,101,10.9
04/01/2025,4:00:00 PM,4.465,47055.4,29.9,104.56,11.08,-71.78,8.05,2.09,-0.27,-0.54,1.41,3.36,331,7.73,5.9,38,1012.5,278,10.59
04/01/2025,3:00:00 PM,4.431,47107.7,29.94,103.99,11.02,-71.45,8.04,2.11,-0.28,-0.56,1.39,3.32,315,8.83,5.9,42,1010.9,466,10.93
04/01/2025,2:00:00 PM,4.294,47220.8,30,103.24,10.98,-71.19,8.04,2.18,-0.29,-0.59,1.39,3.32,323,9.39,5.8,46,1009.7,666,10.53
04/01/2025,1:00:00 PM,4.237,47031.6,29.86,102.98,10.97,-71.21,8.04,2.21,-0.28,-0.57,1.41,3.37,331,10.31,5.3,51,1009.1,843,10.61
04/01/2025,12:00:00 PM,4.381,46469.3,29.48,103.33,11,-71.58,8.04,2.22,-0.28,-0.56,1.62,4.06,329,6.25,5.4,56,1008.5,886,11.09
04/01/2025,11:00:00 AM,4.305,46366.9,29.4,102.67,10.96,-71.48,8.04,2.27,-0.28,-0.56,1.63,4.1,327,8.38,5.5,56,1007.4,890,10.54
04/01/2025,10:00:00 AM,4.331,45966.9,29.13,102.7,10.97,-71.64,8.04,2.3,-0.29,-0.59,1.82,4.72,327,9,5.4,61,1006.6,595,10.25
04/01/2025,9:00:00 AM,4.283,45818.9,29.02,102.39,10.96,-71.73,8.05,2.49,-0.26,-0.48,1.88,4.93,336,9.19,5.1,70,1005.4,753,10.49
04/01/2025,8:00:00 AM,4.285,45736.6,28.96,102.5,10.98,-71.74,8.05,2.58,-0.21,-0.32,1.89,4.97,338,7.74,5,73,1004.1,188,9.88
04/01/2025,7:00:00 AM,4.252,45958,29.11,102.38,10.96,-71.77,8.05,2.5,-0.2,-0.29,1.84,4.8,327,5.13,5.9,90,1002,66,10.21
04/01/2025,6:00:00 AM,4.149,46586.9,29.54,102.26,10.95,-71.56,8.04,2.36,-0.22,-0.36,1.68,4.27,6,6.08,6.1,92,1000.5,3,10.24
04/01/2025,5:00:00 AM,4.051,47172.1,29.93,102.1,10.93,-71.16,8.04,1.98,-0.21,-0.31,1.52,3.72,3,5.87,7.4,91,999.2,0,10.07
04/01/2025,4:00:00 AM,3.918,47709.1,30.29,102.46,10.97,-71.2,8.04,1.94,-0.2,-0.3,1.34,3.15,357,6.68,8.3,98,998.3,0,10.22
04/01/2025,3:00:00 AM,4.016,47309.3,30.02,102.77,11,-71.46,8.04,1.94,-0.25,-0.48,1.43,3.43,300,1.78,9.3,98,998.3,0,10.39
04/01/2025,2:00:00 AM,4.07,47048.6,29.85,102.77,11,-71.71,8.05,1.86,-0.22,-0.35,1.54,3.8,8,2.82,8.8,100,997.2,0,10
04/01/2025,1:00:00 AM,3.913,47681.7,30.27,102.78,11.01,-71.38,8.04,1.88,-0.21,-0.32,1.35,3.19,321,1.67,8.3,100,998.2,0,10.42
04/01/2025,12:00:00 AM,3.973,47403.7,30.08,102.8,11.01,-71.54,8.04,1.97,-0.19,-0.27,1.42,3.42,154,1.89,7.4,100,998.7,0,10.67
03/31/2025,11:00:00 PM,4.006,47217.5,29.96,102.92,11.02,-71.67,8.05,2.15,-0.16,-0.16,1.48,3.6,166,1.33,7.2,100,999,0,10.09
03/31/2025,10:00:00 PM,4.122,46667.2,29.59,103.02,11.03,-71.91,8.05,2.08,-0.18,-0.23,1.62,4.06,115,1.26,7.3,100,999.7,1,10.37
03/31/2025,9:00:00 PM,4.217,46039.9,29.16,103.17,11.05,-72.27,8.06,2.04,-0.04,0.28,1.81,4.69,152,3.06,6.8,100,1000.5,0,10.1
03/31/2025,8:00:00 PM,4.239,45943.9,29.1,103.11,11.04,-72.53,8.06,2.23,-0.07,0.17,1.81,4.68,138,3.01,7,100,1001.2,0,9.7
03/31/2025,7:00:00 PM,4.229,45930.4,29.09,103.24,11.06,-72.45,8.06,2.36,-0.2,-0.28,1.83,4.77,147,2.4,7.8,100,1001.6,0,9.57
03/31/2025,6:00:00 PM,4.161,46352.4,29.37,103.18,11.05,-72.33,8.06,2.19,-0.19,-0.27,1.7,4.33,142,2.21,6.9,100,1001.8,3,10.28
03/31/2025,5:00:00 PM,4.077,47166.7,29.93,103.86,11.11,-72.29,8.06,2.8,-0.23,-0.39,1.45,3.5,161,2.18,6.5,100,1002.1,59,10.19
03/31/2025,4:00:00 PM,3.966,47563.9,30.19,103.55,11.08,-71.97,8.05,1.92,-0.25,-0.45,1.36,3.23,172,1.22,7.1,100,1002.1,64,10.22
03/31/2025,3:00:00 PM,3.973,47441.8,30.11,103.33,11.06,-72.02,8.05,1.91,-0.26,-0.49,1.39,3.31,235,1.2,6.7,100,1002.4,33,10.95
03/31/2025,2:00:00 PM,4.159,46781,29.67,103.59,11.07,-72.41,8.06,1.86,-0.23,-0.41,1.56,3.87,178,1.14,6.5,100,1002.5,73,10.98
03/31/2025,1:00:00 PM,3.898,47689.9,30.27,102.92,11.03,-71.76,8.05,5.39,-0.25,-0.48,1.35,3.18,161,2.32,5.6,100,1003.1,125,10.45
03/31/2025,12:00:00 PM,3.934,47497.4,30.14,102.97,11.03,-71.87,8.05,1.96,-0.27,-0.55,1.4,3.36,159,2.31,5.2,100,1004.2,130,10.7
03/31/2025,11:00:00 AM,3.986,47175.3,29.92,102.82,11.02,-71.95,8.05,2.11,-0.24,-0.44,1.49,3.65,186,3.3,4.7,100,1004.8,188,10.18
03/31/2025,10:00:00 AM,4.015,46913,29.75,102.61,11,-71.95,8.05,13.79,-0.23,-0.38,1.56,3.86,162,3.12,4.7,100,1006.3,139,10.37
03/31/2025,9:00:00 AM,4.153,46059,29.17,102.76,11.03,-72.42,8.06,6.65,-0.2,-0.3,1.81,4.68,138,1.17,4,100,1008.3,63,10.94
03/31/2025,8:00:00 AM,4.181,45753.4,28.96,102.62,11.02,-72.46,8.06,2.23,-0.08,0.11,1.88,4.94,156,0.54,3.2,100,1008.7,75,11.07
03/31/2025,7:00:00 AM,4.187,45685.1,28.91,102.74,11.03,-72.55,8.06,3.16,-0.18,-0.22,1.93,5.1,322,0.73,2.8,100,1010,29,9.59
03/31/2025,6:00:00 AM,4.153,46063,29.17,102.79,11.03,-72.48,8.06,2.41,-0.19,-0.27,1.81,4.71,11,0.78,2.3,100,1010.4,10,9.89
03/31/2025,5:00:00 AM,4.032,46903.5,29.74,102.84,11.02,-72.17,8.06,2.23,-0.22,-0.36,1.57,3.9,18,1.22,2.1,100,1011,0,10.15
03/31/2025,4:00:00 AM,3.902,47501.4,30.14,102.53,11,-71.83,8.05,2.15,-0.22,-0.36,1.39,3.32,41,0.43,2.2,100,1011.4,0,9.91
03/31/2025,3:00:00 AM,3.864,47819.1,30.36,102.7,11.01,-71.84,8.05,2.87,-0.2,-0.3,1.3,3.02,40,0.86,2.2,100,1012.1,0,11
03/31/2025,2:00:00 AM,3.945,47416.5,30.09,103.14,11.05,-72.23,8.06,1.78,-0.24,-0.44,1.43,3.44,335,1.25,2.3,100,1012.8,0,11.18
03/31/2025,1:00:00 AM,3.847,47951.7,30.45,102.93,11.03,-71.91,8.05,1.96,-0.23,-0.39,1.28,2.95,36,1.75,2.3,100,1014.4,0,10.39
03/31/2025,12:00:00 AM,3.89,47774.4,30.33,103.09,11.05,-72.02,8.05,1.92,-0.2,-0.3,1.32,3.09,15,1.21,2.1,100,1015.5,0,10.76
03/30/2025,11:00:00 PM,3.957,47456.2,30.12,103.18,11.05,-72.29,8.06,2.03,-0.18,-0.22,1.4,3.34,16,1.22,2.1,99,1016.7,0,11.2
03/30/2025,10:00:00 PM,4.036,47092.8,29.87,103.41,11.07,-72.47,8.06,2.04,-0.17,-0.2,1.5,3.66,70,1.5,2,98,1017.7,0,-999.9
03/30/2025,9:00:00 PM,4.112,46687.4,29.6,103.46,11.08,-72.76,8.07,2.05,-0.1,0.06,1.62,4.08,146,1.34,1.8,98,1018.5,0,-999.9
03/30/2025,8:00:00 PM,4.231,45994.6,29.13,103.67,11.11,-73.13,8.07,2.04,-0.11,0.01,1.8,4.67,175,4.75,2,93,1019.8,0,-999.9
03/30/2025,7:00:00 PM,4.237,45941.2,29.1,103.82,11.12,-73.2,8.07,2.04,-0.03,0.3,1.79,4.63,359,1.17,1.4,94,1020.8,0,-999.9
03/30/2025,6:00:00 PM,4.259,45795.5,29,103.76,11.12,-73.34,8.08,2.15,-0.19,-0.24,1.84,4.8,46,1,1.3,95,1021.3,1,-999.9
03/30/2025,5:00:00 PM,4.168,46474.4,29.46,103.72,11.1,-72.98,8.07,1.95,-0.24,-0.45,1.68,4.27,40,0.82,1.4,95,1021.9,22,-999.9
03/30/2025,4:00:00 PM,4.014,47444.4,30.12,104,11.12,-72.84,8.07,1.81,-0.23,-0.4,1.37,3.25,62,1.94,1.5,95,1022.3,68,-999.9
03/30/2025,3:00:00 PM,3.93,47849.7,30.39,103.44,11.07,-72.37,8.06,1.88,-0.23,-0.41,1.28,2.94,164,1.86,1.3,96,1022.9,70,9.8
03/30/2025,2:00:00 PM,4.002,47457.1,30.12,103.8,11.11,-72.74,8.07,1.82,-0.24,-0.42,1.37,3.26,123,1.5,1.6,92,1023.8,53,11
03/30/2025,1:00:00 PM,4.133,46801.1,29.68,103.78,11.1,-73.05,8.07,1.79,-0.24,-0.43,1.55,3.85,164,4.12,2.2,82,1024.2,76,10.7
03/30/2025,12:00:00 PM,3.944,47767.3,30.33,103.25,11.05,-72.44,8.06,1.86,-0.26,-0.5,1.3,3.02,25,0.54,2,85,1024.8,108,10.59
03/30/2025,11:00:00 AM,3.986,47561,30.19,103.32,11.05,-72.4,8.06,2.04,-0.24,-0.44,1.37,3.23,27,1.02,1.3,92,1025.2,91,10.46
03/30/2025,10:00:00 AM,4.068,47138.9,29.91,103.19,11.04,-72.63,8.06,1.96,-0.26,-0.51,1.5,3.68,52,1.65,0.9,91,1025.6,122,10.7
03/30/2025,9:00:00 AM,4.141,46625.9,29.56,103.23,11.05,-72.87,8.07,2.07,-0.25,-0.48,1.65,4.17,28,1.29,0.7,88,1026.3,154,10.22
03/30/2025,8:00:00 AM,4.289,45817.3,29.02,103.43,11.07,-73.31,8.08,1.77,-0.24,-0.43,1.83,4.77,310,0.68,0.6,86,1026.4,110,9.45
03/30/2025,7:00:00 AM,4.294,45682.5,28.92,103.16,11.05,-73.29,8.08,1.91,-0.18,-0.23,1.82,4.72,332,1.08,0.3,84,1026.5,37,9.69
03/30/2025,6:00:00 AM,4.3,45637.9,28.89,103.39,11.07,-73.41,8.08,2.22,-0.18,-0.22,1.9,4.99,61,0.52,0,86,1025.9,17,9.99
03/30/2025,5:00:00 AM,4.278,45925.4,29.09,103.48,11.07,-73.37,8.08,2.16,-0.22,-0.37,1.83,4.76,4,0.59,-0.1,85,1025.3,0,10.46
03/30/2025,4:00:00 AM,4.115,46975.3,29.8,103.22,11.04,-73.02,8.07,1.98,-0.22,-0.38,1.53,3.77,126,0.28,-0.5,91,1025.2,0,10.87
03/30/2025,3:00:00 AM,3.967,47674,30.27,103.02,11.02,-72.69,8.07,1.72,-0.23,-0.38,1.35,3.17,43,0.72,-1,92,1024.6,0,9.99
03/30/2025,2:00:00 AM,3.967,47577.9,30.2,103.16,11.04,-72.77,8.07,1.82,-0.19,-0.27,1.36,3.21,107,0.59,-1.2,95,1024.7,0,10.34
03/30/2025,1:00:00 AM,4.084,47283.2,30.01,103.67,11.08,-73.1,8.07,1.74,-0.2,-0.31,1.43,3.43,57,0.64,-1.2,95,1024.5,0,9.97
03/30/2025,12:00:00 AM,3.965,47598.3,30.22,103.38,11.06,-72.83,8.07,1.73,-0.24,-0.42,1.35,3.17,226,1.28,-1.1,94,1024.7,1,10.2
03/29/2025,11:00:00 PM,4.034,47694.6,30.29,103.62,11.07,-72.78,8.07,1.8,-0.18,-0.22,1.31,3.05,49,0.8,-1.2,93,1024.5,0,10.73
03/29/2025,10:00:00 PM,4.155,47196.2,29.96,103.84,11.08,-73.07,8.07,1.86,-0.16,-0.16,1.45,3.51,53,1.35,-0.5,91,1024.1,0,10.66
03/29/2025,9:00:00 PM,4.253,46807.1,29.7,104.11,11.1,-73.46,8.08,1.79,-0.18,-0.21,1.54,3.82,48,1.17,0,85,1024.1,0,9.84
03/29/2025,8:00:00 PM,4.378,45975.5,29.14,104.35,11.14,-73.85,8.09,1.97,-0.17,-0.19,1.75,4.51,32,1.8,0.1,88,1023.6,0,10.17
03/29/2025,7:00:00 PM,4.437,45769.7,29,104.55,11.15,-73.96,8.09,1.76,-0.12,-0.02,1.82,4.74,309,1.01,0.9,76,1023.4,0,9.82
03/29/2025,6:00:00 PM,4.469,45578.7,28.87,104.63,11.16,-74.16,8.09,2,-0.22,-0.35,1.87,4.89,323,1.81,1,76,1022.7,1,9.37
03/29/2025,5:00:00 PM,4.371,46201.8,29.3,104.49,11.14,-73.93,8.09,2.05,-0.24,-0.44,1.73,4.42,28,1.15,0.9,71,1022.1,63,9.5
03/29/2025,4:00:00 PM,4.316,46676.4,29.62,104.48,11.13,-73.82,8.08,2.05,-0.28,-0.59,1.57,3.89,51,2.27,0.9,74,1021.3,105,9.62
03/29/2025,3:00:00 PM,4.054,47942.7,30.47,103.95,11.08,-73.14,8.07,1.75,-0.28,-0.56,1.21,2.72,339,0.84,0.9,73,1020.6,218,10.04
03/29/2025,2:00:00 PM,4.061,47808.4,30.38,103.71,11.06,-73.13,8.07,1.77,-0.27,-0.54,1.25,2.86,359,2.81,0.2,77,1020.2,164,9.76
03/29/2025,1:00:00 PM,4.107,47485.6,30.16,103.63,11.06,-73.34,8.08,1.71,-0.29,-0.59,1.34,3.14,39,1.31,0,76,1020,294,10.14
03/29/2025,12:00:00 PM,4.134,47036.2,29.85,103.19,11.03,-73.49,8.08,6.92,-0.31,-0.66,1.48,3.61,352,4.47,-0.8,81,1019.5,349,9.43
03/29/2025,11:00:00 AM,4.047,47803.9,30.37,103.26,11.02,-72.98,8.07,1.72,-0.27,-0.52,1.29,2.99,41,3.34,-1.7,83,1019.5,293,10.06
03/29/2025,10:00:00 AM,4.151,47446,30.14,103.64,11.05,-73.19,8.07,5.83,-0.24,-0.42,1.41,3.37,58,5.23,-2.4,86,1019.2,211,10.45
03/29/2025,9:00:00 AM,4.192,46724.9,29.64,103.72,11.08,-73.46,8.08,1.8,-0.23,-0.4,1.59,3.96,60,4.51,-1.8,92,1018.1,95,10.35
03/29/2025,8:00:00 AM,4.258,46575.8,29.54,103.88,11.09,-73.55,8.08,1.74,-0.2,-0.28,1.51,3.71,37,2.66,-2.2,98,1018.6,66,9.75
03/29/2025,7:00:00 AM,4.489,46007.5,29.17,104.52,11.12,-73.82,8.08,1.79,-0.18,-0.23,1.77,4.57,65,4.03,-2.2,99,1018.5,30,10.32
03/29/2025,6:00:00 AM,4.453,45809.5,29.03,104.4,11.13,-74.07,8.09,2,-0.16,-0.15,1.85,4.83,74,1.4,-1.9,97,1017.9,5,9.58
03/29/2025,5:00:00 AM,4.526,45716.7,28.98,104.58,11.13,-74.11,8.09,1.96,-0.21,-0.33,1.89,4.97,37,1.73,-1.6,96,1017.3,0,9.87
03/29/2025,4:00:00 AM,4.407,46477.6,29.49,104.5,11.12,-73.81,8.08,1.84,-0.25,-0.46,1.65,4.19,61,0.89,-1.3,91,1017.9,0,9.87
03/29/2025,3:00:00 AM,4.208,47335.4,30.07,103.86,11.06,-73.49,8.08,1.69,-0.23,-0.4,1.42,3.42,46,2.34,1.5,56,1017.3,0,10.02
03/29/2025,2:00:00 AM,4.124,47774.4,30.36,104.02,11.08,-73.34,8.08,1.63,-0.21,-0.33,1.29,2.98,31,1.65,3.2,40,1017,0,10
03/29/2025,1:00:00 AM,4.194,47634.4,30.27,104.39,11.11,-73.55,8.08,1.59,-0.21,-0.34,1.34,3.15,23,0.99,3.9,30,1017.3,0,10.54
03/29/2025,12:00:00 AM,4.314,47190.4,29.98,104.88,11.15,-73.96,8.09,1.65,-0.19,-0.26,1.45,3.5,41,3.95,4.1,30,1017.6,0,10.91
03/28/2025,11:00:00 PM,4.14,47725.6,30.33,104.46,11.12,-73.54,8.08,1.62,-0.21,-0.34,1.31,3.04,10,0.62,4.8,30,1018.3,0,10.35
03/28/2025,10:00:00 PM,4.233,47393.5,30.11,104.61,11.13,-73.79,8.08,1.6,-0.26,-0.51,1.4,3.36,3,2.91,5.3,29,1018,0,10.3
03/28/2025,9:00:00 PM,4.315,47175.2,29.97,105.02,11.16,-73.94,8.09,1.79,-0.17,-0.2,1.46,3.54,25,2.14,5.8,34,1018,0,10.38
03/28/2025,8:00:00 PM,4.418,46734.3,29.67,105.31,11.19,-74.12,8.09,1.72,-0.25,-0.46,1.57,3.92,18,3.03,6.6,27,1017.7,0,9.71
03/28/2025,7:00:00 PM,4.636,45824.1,29.06,105.66,11.21,-74.65,8.1,1.78,-0.23,-0.4,1.78,4.58,14,2,6.8,42,1017.1,0,10.19
03/28/2025,6:00:00 PM,4.674,45641.4,28.94,105.67,11.21,-74.76,8.1,1.86,-0.24,-0.45,1.8,4.68,336,3.52,8.3,33,1016.3,1,9.36
03/28/2025,5:00:00 PM,4.771,45515,28.87,106.13,11.24,-75.01,8.1,1.87,-0.28,-0.58,1.84,4.81,354,5.45,9.2,29,1016.1,84,9.32
03/28/2025,4:00:00 PM,4.653,46020.1,29.2,105.8,11.21,-74.78,8.1,1.87,-0.28,-0.58,1.72,4.4,322,5.56,9.9,24,1015.7,265,9.44
03/28/2025,3:00:00 PM,4.449,46877.1,29.78,105.45,11.19,-74.53,8.1,1.72,-0.26,-0.51,1.49,3.66,288,3.54,9.2,29,1016,472,9.25
03/28/2025,2:00:00 PM,4.397,47534.3,30.23,105.78,11.2,-74.5,8.1,1.61,-0.29,-0.61,1.28,2.93,309,5.17,8.5,22,1015.7,623,9.96
03/28/2025,1:00:00 PM,4.126,47844.9,30.41,104.03,11.07,-73.78,8.08,1.66,-0.29,-0.6,1.26,2.88,2,3.97,7.7,29,1015.7,762,10.31
03/28/2025,12:00:00 PM,4.239,47347.6,30.08,103.88,11.05,-73.96,8.09,1.72,-0.27,-0.52,1.37,3.26,320,6.27,7.3,32,1015.8,876,10.27
03/28/2025,11:00:00 AM,4.251,47003.7,29.84,103.44,11.02,-74.21,8.09,1.7,-0.29,-0.6,1.08,2.3,340,5.19,6.6,34,1015.7,902,9.65
03/28/2025,10:00:00 AM,4.008,47826.6,30.38,103.21,11.02,-73.77,8.09,1.8,-0.29,-0.59,1.31,3.06,312,4.65,6.3,32,1015.6,602,9.79
03/28/2025,9:00:00 AM,4.146,46897.4,29.75,103.11,11.02,-74.2,8.09,1.67,-0.28,-0.58,1.59,3.97,329,6.52,5.4,53,1015.6,425,10.24
03/28/2025,8:00:00 AM,4.081,47021.2,29.83,102.92,11.01,-74,8.09,1.87,-0.22,-0.35,1.57,3.89,301,3.42,5,57,1015.1,650,10.2
03/28/2025,7:00:00 AM,4.188,46338.3,29.37,103.09,11.04,-74.47,8.1,1.61,-0.24,-0.42,1.76,4.54,269,3.62,4,60,1015,122,10
03/28/2025,6:00:00 AM,4.302,45972.8,29.13,103.47,11.06,-74.62,8.1,1.97,-0.21,-0.32,1.86,4.87,237,3.27,3.7,58,1015.1,25,9.6
