Date,Time,Temperature,SpecificConductance,Salinity,DOpercent,DOmgl,pHmV,pH,Turbidity,ChlorophyllRFU,Chlorophyllugl,fDOM (RFU),fDOM (QSU),Wind direction,Wind speed (m/s),AirTemp,RelHumidity,BarometricPressurehPA,SolarRadiationWm2,NitrateuM
04/06/2025,1:00:00 PM,4.853,45534.2,28.89,104.36,11.03,-70.38,8.02,1.88,-0.21,-0.34,2.95,8.45,265,2.35,6.6,93,1006.1,379,10.22
04/06/2025,12:00:00 PM,4.683,46160,29.31,103.93,11,-70.05,8.01,1.9,-0.23,-0.41,1.91,5.04,306,1.81,5.8,96,1005.8,191,9.97
04/06/2025,11:00:00 AM,4.577,46478.6,29.52,103.18,10.93,-69.64,8.01,1.95,-0.17,-0.2,1.63,4.1,259,1.77,5.4,96,1006,153,10.25
04/06/2025,10:00:00 AM,4.596,46185.6,29.31,102.58,10.88,-69.55,8.01,1.86,-0.22,-0.38,1.69,4.29,2,0.39,5.3,97,1005.6,169,10.52
04/06/2025,9:00:00 AM,4.469,46856.8,29.77,103.17,10.94,-69.6,8.01,1.95,-0.21,-0.31,1.57,3.89,72,0.43,4.9,96,1006.2,98,10.52
04/06/2025,8:00:00 AM,4.531,46479.1,29.51,103.11,10.94,-69.74,8.01,1.78,-0.21,-0.33,1.45,3.52,337,1.9,4.3,98,1007,90,11.02
04/06/2025,7:00:00 AM,4.558,46429,29.48,103.7,10.99,-70.1,8.02,1.88,-0.23,-0.41,1.68,4.27,347,4.49,4.3,99,1007.2,38,10.61
04/06/2025,6:00:00 AM,4.454,46916.6,29.81,103.48,10.97,-69.72,8.01,1.9,-0.16,-0.17,1.55,3.85,42,1.66,4.5,100,1007.1,10,10
04/06/2025,5:00:00 AM,4.515,46642.8,29.62,103.57,10.98,-69.83,8.01,1.82,-0.13,-0.06,1.62,4.06,9,2.3,4.5,100,1008.5,0,10.74
04/06/2025,4:00:00 AM,4.56,46150.4,29.28,103.46,10.98,-69.91,8.01,1.89,-0.15,-0.11,1.9,4.99,354,1.88,4.5,100,1009.7,0,10.06
04/06/2025,3:00:00 AM,4.7,45917.4,29.14,103.87,11,-70.03,8.01,1.96,-0.08,0.13,1.8,4.66,182,0.97,4.6,100,1010.3,0,9.88
04/06/2025,2:00:00 AM,4.722,45813.1,29.07,103.81,10.99,-70.03,8.01,2.02,-0.13,-0.05,1.83,4.76,167,2.94,4.3,100,1012,0,9.99
04/06/2025,1:00:00 AM,4.742,45670,28.97,103.81,10.99,-70.17,8.02,1.98,-0.16,-0.15,1.86,4.87,171,4.29,4.2,99,1013.9,0,9.97
04/06/2025,12:00:00 AM,4.71,45811.8,29.07,103.93,11.01,-70.11,8.02,1.99,-0.14,-0.1,1.83,4.76,182,5.19,3.9,99,1015.3,0,9.81
04/05/2025,11:00:00 PM,4.652,46046.7,29.22,104.26,11.05,-70.29,8.02,1.96,-0.15,-0.11,1.75,4.52,191,5.62,3.7,97,1017.4,0,9.67
04/05/2025,10:00:00 PM,4.746,45596.6,28.92,104.81,11.1,-70.86,8.03,1.98,-0.15,-0.13,1.87,4.88,189,5.94,3.5,97,1019.3,0,9.86
04/05/2025,9:00:00 PM,4.693,45924.8,29.14,104.81,11.1,-70.83,8.03,1.87,-0.15,-0.13,1.74,4.48,185,7.13,3.2,96,1020.5,0,9.74
04/05/2025,8:00:00 PM,4.728,46122.7,29.29,105.57,11.16,-71.14,8.03,1.95,-0.16,-0.15,1.7,4.33,190,6.33,3.3,97,1021.1,0,9.67
04/05/2025,7:00:00 PM,4.543,46593.8,29.59,104.74,11.1,-70.52,8.02,1.88,-0.16,-0.16,1.56,3.88,180,7.52,3.1,94,1021.7,0,10.31
04/05/2025,6:00:00 PM,4.521,46842.9,29.76,105.09,11.13,-70.44,8.02,1.92,-0.19,-0.25,1.52,3.73,195,4.99,3.1,94,1023.8,3,10.13
04/05/2025,5:00:00 PM,4.576,46672.9,29.65,104.91,11.1,-70.3,8.02,1.87,-0.16,-0.16,1.56,3.87,183,5.3,3.1,89,1024,12,10.74
04/05/2025,4:00:00 PM,4.563,46689.6,29.66,104.83,11.1,-70.28,8.02,1.9,-0.18,-0.23,1.56,3.86,169,3.93,3.4,83,1024.9,98,10.28
04/05/2025,3:00:00 PM,4.598,46493.5,29.53,104.58,11.07,-70.15,8.02,1.91,-0.15,-0.14,1.56,3.86,182,3.88,3.5,77,1026.9,61,11.18
04/05/2025,2:00:00 PM,4.808,45779.6,29.05,104.78,11.07,-70.58,8.02,2.04,-0.23,-0.4,1.77,4.57,183,5.45,3.2,77,1026.5,128,10.55
04/05/2025,1:00:00 PM,4.79,45631.1,28.95,104.54,11.06,-70.59,8.02,2.22,-0.24,-0.43,1.79,4.64,170,5.25,3,72,1027.9,176,10.65
04/05/2025,12:00:00 PM,4.762,45646.4,28.96,104.22,11.03,-70.41,8.02,2.02,-0.28,-0.57,1.85,4.82,182,4.78,2.8,70,1029.2,259,10
04/05/2025,11:00:00 AM,4.67,46254.5,29.37,104.89,11.1,-70.66,8.03,1.95,-0.25,-0.46,1.65,4.18,184,5.7,2.8,67,1029.6,183,9.43
04/05/2025,10:00:00 AM,4.554,46591.1,29.59,104.07,11.03,-70.37,8.02,1.84,-0.28,-0.57,1.6,4,163,4.29,3.2,60,1029.9,301,10.1
04/05/2025,9:00:00 AM,4.4,46885.8,29.78,103.04,10.94,-70.01,8.01,1.88,-0.2,-0.31,1.53,3.76,180,3.04,3.3,60,1030.8,344,11
04/05/2025,8:00:00 AM,4.357,47187.5,29.98,103.36,10.97,-69.95,8.01,1.94,-0.22,-0.35,1.44,3.47,347,1.05,2.9,60,1031,205,10.97
04/05/2025,7:00:00 AM,4.379,47116,29.94,103.57,10.99,-70.07,8.02,1.89,-0.26,-0.52,1.18,2.62,80,0.31,2.4,61,1031.4,94,11.12
04/05/2025,6:00:00 AM,4.457,46760.2,29.7,103.73,11.01,-70.32,8.02,1.89,-0.2,-0.28,1.59,3.97,116,1.63,2,63,1031.2,27,10.91
04/05/2025,5:00:00 AM,4.301,47479.4,30.18,103.43,10.98,-69.83,8.01,1.83,-0.19,-0.26,1.37,3.24,22,0.5,2.1,67,1030.6,0,10.96
04/05/2025,4:00:00 AM,4.396,47064.5,29.9,103.63,11,-69.97,8.01,1.95,-0.11,0.03,1.5,3.68,62,0.85,3.1,62,1029.8,0,10.5
04/05/2025,3:00:00 AM,4.441,46882,29.78,103.79,11.01,-70,8.01,1.94,-0.12,-0.02,1.55,3.83,25,1.48,3.7,63,1029.8,0,11.26
04/05/2025,2:00:00 AM,4.566,46449.6,29.49,103.93,11.01,-70.16,8.02,2.2,-0.17,-0.17,1.62,4.06,108,0.59,4.9,59,1028.6,0,10.85
04/05/2025,1:00:00 AM,4.771,45906.1,29.14,104.57,11.05,-70.47,8.02,1.94,-0.14,-0.08,1.76,4.52,57,1.87,3.4,79,1027.3,0,10.94
04/05/2025,12:00:00 AM,4.756,45518.8,28.87,104.33,11.05,-70.58,8.02,2.01,-0.19,-0.24,1.86,4.87,216,1.79,3.9,75,1026.7,1,9.93
04/04/2025,11:00:00 PM,4.743,45816.4,29.07,104.43,11.05,-70.58,8.02,1.99,-0.17,-0.18,1.81,4.7,185,1.26,4.1,79,1026.1,0,10.43
04/04/2025,10:00:00 PM,5.243,46225.7,29.42,107.49,11.21,-71.49,8.04,2.06,-0.17,-0.19,1.68,4.26,151,0.56,5.6,65,1025.9,0,11.1
04/04/2025,9:00:00 PM,5.21,46352.9,29.5,107.71,11.24,-71.89,8.05,2.02,-0.21,-0.34,1.61,4.05,325,3.61,7.1,59,1024.9,0,10.5
04/04/2025,8:00:00 PM,4.536,46921.6,29.82,104.74,11.08,-70.29,8.02,1.95,-0.2,-0.31,1.49,3.63,356,3.59,7.9,57,1023.9,0,10.3
04/04/2025,7:00:00 PM,4.719,46748.7,29.72,105.07,11.08,-70.36,8.02,1.96,-0.25,-0.45,1.48,3.59,338,4.69,8.9,50,1023.4,0,9.9
04/04/2025,6:00:00 PM,4.78,46759,29.74,104.94,11.05,-70.2,8.02,2,-0.24,-0.44,1.42,3.41,326,8.99,9.6,48,1021.6,10,10.35
04/04/2025,5:00:00 PM,4.744,46825.1,29.78,104.85,11.04,-70.14,8.02,1.97,-0.28,-0.56,1.46,3.53,350,9.87,10.7,47,1020,123,10.32
04/04/2025,4:00:00 PM,4.827,46546.8,29.59,105.13,11.06,-70.25,8.02,2.09,-0.28,-0.57,1.51,3.71,340,9.97,11.3,44,1019,295,10.9
04/04/2025,3:00:00 PM,4.895,46222.5,29.38,104.61,11.01,-70.13,8.02,2.1,-0.3,-0.63,1.57,3.91,336,6.24,11.8,46,1018.4,507,10.48
04/04/2025,2:00:00 PM,4.894,45915.8,29.16,104.46,11.01,-70.23,8.02,2.12,-0.28,-0.59,1.69,4.3,344,6.18,11.6,47,1016.9,692,9.75
04/04/2025,1:00:00 PM,4.829,45805.7,29.08,104.17,11,-70.37,8.02,2.11,-0.28,-0.56,1.76,4.55,359,8.85,11.3,45,1017,856,9.86
04/04/2025,12:00:00 PM,4.729,45771.4,29.04,103.89,11,-70.49,8.02,2.19,-0.3,-0.63,1.76,4.54,336,8.43,11,48,1016.8,911,10.29
04/04/2025,11:00:00 AM,4.575,45833.1,29.06,103.37,10.98,-70.48,8.02,2.32,-0.3,-0.64,1.8,4.66,341,10.58,10.5,51,1017.3,891,9.68
04/04/2025,10:00:00 AM,4.488,46027.9,29.19,103.27,10.99,-70.51,8.02,2.21,-0.28,-0.59,1.77,4.56,326,6.35,10,51,1017,868,9.81
04/04/2025,9:00:00 AM,4.342,46554.2,29.54,102.88,10.96,-70.31,8.02,2.26,-0.27,-0.53,1.65,4.17,16,6.97,8.7,60,1017,396,10.08
04/04/2025,8:00:00 AM,4.219,47053.5,29.87,102.21,10.9,-69.91,8.01,1.82,-0.25,-0.48,1.54,3.81,3,4.03,8.3,67,1016.2,185,10.59
04/04/2025,7:00:00 AM,4.159,47294.5,30.03,102.47,10.93,-69.91,8.01,1.92,-0.23,-0.41,1.48,3.62,346,3.04,7.9,77,1015,146,10.32
04/04/2025,6:00:00 AM,4.207,47068.6,29.88,102.72,10.95,-70.12,8.02,1.85,-0.19,-0.27,1.55,3.85,354,4.17,7.2,88,1014.2,53,10.19
04/04/2025,5:00:00 AM,4.302,46772.4,29.69,103.02,10.98,-70.46,8.02,1.89,-0.2,-0.28,1.61,4.05,341,0.51,7.4,94,1013,0,10.45
04/04/2025,4:00:00 AM,4.119,47440.6,30.13,102.67,10.95,-70.11,8.02,2.04,-0.19,-0.24,1.44,3.47,341,0.42,7.5,99,1012.2,0,10.21
04/04/2025,3:00:00 AM,4.219,47061.7,29.88,102.96,10.98,-70.3,8.02,1.95,-0.15,-0.13,1.52,3.72,1,0.13,8.2,100,1011.6,0,10.31
04/04/2025,2:00:00 AM,4.234,47000.7,29.84,103.03,10.98,-70.34,8.02,2.02,-0.17,-0.18,1.53,3.78,344,1.76,7.7,100,1011,0,10.75
04/04/2025,1:00:00 AM,4.298,46801.7,29.71,103.24,11,-70.43,8.02,2.04,-0.14,-0.08,1.61,4.03,61,0.39,8.1,100,1010.5,0,9.66
04/04/2025,12:00:00 AM,4.41,46281.2,29.36,103.48,11.02,-70.75,8.03,2.14,-0.04,0.26,1.75,4.49,277,2.71,8.6,99,1010.4,0,8.29
04/03/2025,11:00:00 PM,4.437,46103.9,29.24,103.36,11.01,-70.81,8.03,2.17,0.05,0.57,1.77,4.56,290,2.87,8.3,100,1009.6,0,9.67
04/03/2025,10:00:00 PM,4.458,45939.1,29.12,103.55,11.03,-70.9,8.03,2.13,-0.14,-0.09,1.83,4.76,226,1.61,7.8,100,1009.5,0,10.4
04/03/2025,9:00:00 PM,4.426,46172.7,29.28,104.01,11.08,-71.02,8.03,2.28,-0.14,-0.09,1.77,4.57,152,1.65,7.2,100,1010,0,10.64
04/03/2025,8:00:00 PM,4.342,46787.7,29.7,104.49,11.12,-71.14,8.04,2.15,-0.2,-0.28,1.56,3.87,141,1.31,5.4,100,1010.6,0,10.34
04/03/2025,7:00:00 PM,4.204,47234,30,103.7,11.05,-70.63,8.03,1.96,-0.2,-0.28,1.45,3.51,174,1.82,5.4,100,1010.3,0,10.14
04/03/2025,6:00:00 PM,4.352,46866.2,29.76,104.18,11.08,-70.98,8.03,2.07,-0.23,-0.39,1.53,3.77,167,2.95,5.3,98,1010.3,4,11.13
04/03/2025,5:00:00 PM,4.545,46218.4,29.33,104.4,11.08,-71.16,8.04,2.16,-0.14,-0.08,1.64,4.14,180,1.61,6.8,95,1010.2,33,10.36
04/03/2025,4:00:00 PM,4.251,47154.4,29.95,103.5,11.02,-70.61,8.03,2.05,-0.24,-0.42,1.47,3.57,219,2.98,7,95,1010.6,77,10.3
04/03/2025,3:00:00 PM,4.157,47157.4,29.94,103.15,11.01,-70.51,8.02,2.14,-0.25,-0.48,1.48,3.61,231,4.65,7.4,95,1011.4,157,10.55
04/03/2025,2:00:00 PM,4.237,46743.3,29.66,103.19,11.01,-70.69,8.03,2.18,-0.25,-0.48,1.63,4.1,238,3.36,6.5,98,1011.8,279,10.55
04/03/2025,1:00:00 PM,4.245,46534.3,29.51,102.94,10.99,-70.74,8.03,2.48,-0.2,-0.3,1.72,4.41,227,4.31,6,100,1013.5,131,9.64
04/03/2025,12:00:00 PM,4.304,46098.4,29.21,103.05,11.01,-70.84,8.03,2.41,-0.15,-0.12,1.84,4.81,179,5.45,4.8,99,1015.1,111,10.5
04/03/2025,11:00:00 AM,4.279,45848.9,29.04,102.85,11.01,-70.77,8.03,2.34,-0.17,-0.2,1.76,4.54,179,6.64,4.1,99,1016.8,56,10.18
04/03/2025,10:00:00 AM,4.425,45767.9,29,103.22,11.01,-71.1,8.03,2.37,-0.18,-0.22,1.8,4.68,165,7.08,3.6,99,1019.8,69,9.78
04/03/2025,9:00:00 AM,4.439,45889.9,29.09,103.43,11.03,-71.18,8.04,2.27,-0.2,-0.28,1.77,4.58,174,6.94,3,98,1022.2,57,8.96
04/03/2025,8:00:00 AM,4.256,46389.3,29.41,102.87,10.99,-70.95,8.03,2.12,-0.22,-0.37,1.65,4.18,179,6.41,3,97,1024.7,24,9.9
04/03/2025,7:00:00 AM,4.119,47087.7,29.88,102.77,10.98,-70.71,8.03,1.99,-0.22,-0.35,1.53,3.76,185,6.6,2.8,93,1024.8,16,10.66
04/03/2025,6:00:00 AM,4.143,47157.4,29.93,103.06,11,-70.87,8.03,1.85,-0.22,-0.35,1.5,3.67,190,5.78,2.9,86,1025.9,1,10.34
04/03/2025,5:00:00 AM,4.165,47093.4,29.89,103.29,11.03,-70.91,8.03,2.03,-0.25,-0.47,1.51,3.71,166,5.12,2.5,85,1027,0,10.39
04/03/2025,4:00:00 AM,4.266,46661.3,29.6,103.48,11.04,-71.3,8.04,2.09,-0.22,-0.35,1.62,4.09,199,3.81,1.7,89,1027.7,0,10.25
04/03/2025,3:00:00 AM,4.11,47502.7,30.17,103.37,11.03,-70.71,8.03,2.07,-0.2,-0.31,1.4,3.35,198,2.91,1,92,1028.2,0,10.3
04/03/2025,2:00:00 AM,4.22,47127.2,29.92,103.67,11.05,-71.01,8.03,2.2,-0.21,-0.34,1.5,3.67,195,4.83,1.1,84,1028,0,10.71
04/03/2025,1:00:00 AM,4.262,47009.1,29.85,103.78,11.05,-71.14,8.04,2.06,-0.17,-0.2,1.52,3.73,193,5.53,2.5,71,1028.9,0,10.52
04/03/2025,12:00:00 AM,4.316,46786.3,29.7,104.04,11.08,-71.18,8.04,2.14,-0.19,-0.27,1.57,3.9,193,3.41,2.2,62,1031.2,0,10.52
04/02/2025,11:00:00 PM,4.503,46017.6,29.18,104.38,11.1,-71.54,8.04,2.09,-0.09,0.08,1.75,4.51,210,3.11,2.2,56,1031.7,0,10.23
